created_at,default_branch,fork,full_name,pushed_at,size,stargazers_count
2012-04-19T20:58:54Z,master,False,Ardesco/Selenium-Maven-Template,2018-08-26T21:42:47Z,130,302
2011-01-26T05:33:49Z,master,False,killme2008/xmemcached,2018-08-30T12:56:12Z,13060,630
2016-11-07T02:13:31Z,master,False,527515025/springBoot,2018-09-13T04:32:18Z,352,1789
2012-10-09T09:01:27Z,master,False,orientechnologies/spring-data-orientdb,2018-09-13T09:42:57Z,294,115
2016-04-10T14:31:09Z,master,False,widdix/aws-ec2-ssh,2018-09-18T10:06:22Z,205,609
2014-11-01T18:34:43Z,master,False,cardillo/joinery,2018-09-24T10:58:46Z,647,283
2016-03-23T07:06:23Z,master,False,widdix/aws-s3-virusscan,2018-10-15T06:08:37Z,1192,222
2011-09-30T19:41:07Z,master,False,demoiselle/framework,2018-10-19T18:01:58Z,9707,114
2013-12-18T17:25:04Z,master,False,cache2k/cache2k,2018-11-01T01:59:32Z,6091,298
2016-12-05T12:15:21Z,master,False,json-iterator/java,2018-11-05T15:42:35Z,1255,1025
2015-12-04T17:40:00Z,master,False,shred/acme4j,2018-11-12T16:46:56Z,1752,249
2011-03-30T16:18:14Z,master,False,Multiverse/Multiverse-Core,2018-11-20T22:08:46Z,12565,325
2015-03-21T23:35:59Z,master,False,bouncestorage/chaos-http-proxy,2018-11-23T22:27:05Z,51,115
2014-06-02T18:47:31Z,master,False,docker-java/docker-java,2018-11-27T21:46:54Z,6167,1195
2013-06-10T22:26:09Z,master,False,easymock/easymock,2018-11-30T20:24:18Z,9794,511
2014-09-18T00:06:51Z,master,False,gaul/modernizer-maven-plugin,2018-12-03T02:29:02Z,171,183
2014-12-16T22:46:28Z,master,False,gaul/are-we-consistent-yet,2018-12-03T02:48:30Z,34,122
2015-02-06T15:44:24Z,master,False,eclipse/leshan,2018-12-24T04:29:02Z,4244,281
2018-03-12T09:07:08Z,master,False,alipay/sofa-ark,2018-12-11T16:17:49Z,1125,496
2011-08-10T06:16:44Z,master,False,spring-projects/spring-data-cassandra,2018-12-11T10:44:41Z,8776,226
2017-07-17T20:17:04Z,master,False,dremio/dremio-oss,2018-12-12T23:07:25Z,17390,392
2011-11-04T09:09:18Z,master,False,chocoteam/choco-solver,2018-12-12T10:30:48Z,52805,357
2015-05-07T16:24:57Z,master,False,ICIJ/extract,2018-12-12T17:00:14Z,71913,140
2013-11-05T08:00:14Z,master,False,apache/usergrid,2018-12-20T01:40:20Z,383362,923
2012-03-07T02:29:34Z,master,False,apereo/java-cas-client,2018-12-14T21:36:18Z,1586,493
2013-01-15T19:17:23Z,master,False,ThreeTen/threetenbp,2018-12-14T23:44:21Z,32240,360
2015-06-10T17:33:05Z,master,False,tinyMediaManager/tinyMediaManager,2018-12-14T16:55:46Z,306466,233
2015-11-10T08:00:06Z,master,False,apache/systemml,2018-12-16T16:07:28Z,210570,733
2015-09-24T15:27:15Z,master,False,eclipse/californium,2018-12-28T19:48:40Z,8392,292
2014-03-09T22:31:26Z,master,False,Erudika/para,2018-12-18T13:43:11Z,3614,236
2015-08-18T21:41:40Z,master,False,zalando/problem-spring-web,2018-12-18T04:22:52Z,776,233
2015-07-25T23:03:12Z,master,False,zalando/problem,2018-12-18T04:21:13Z,1044,215
2013-05-07T10:38:10Z,master,False,RIPE-NCC/whois,2018-12-18T11:02:39Z,17138,209
2015-02-04T11:11:27Z,master,False,vaadin/spring,2018-12-18T08:27:45Z,755,120
2011-09-14T07:00:10Z,master,False,apache/oozie,2018-12-19T13:07:18Z,29839,441
2015-03-27T08:31:42Z,master,False,hopshadoop/hops,2018-12-19T12:58:45Z,135488,110
2011-06-27T19:49:46Z,master,False,cucumber/cucumber-jvm,2018-12-20T13:12:12Z,19467,1820
2014-07-27T20:32:24Z,master,False,gaul/s3proxy,2018-12-21T22:19:51Z,1410,680
2015-05-29T05:20:53Z,master,False,spotify/heroic,2018-12-21T14:30:35Z,8586,658
2010-10-08T13:25:07Z,master,False,hibernate/hibernate-validator,2018-12-21T16:01:09Z,28667,575
2010-02-03T15:32:30Z,master,False,citrusframework/citrus,2018-12-21T12:11:23Z,68190,248
2015-01-30T18:05:50Z,master,False,esig/dss,2018-12-21T13:40:33Z,107999,197
2014-05-19T23:27:48Z,master,False,apache/incubator-pinot,2018-12-22T18:06:27Z,159083,2067
2011-12-21T16:49:03Z,master,False,togglz/togglz,2018-12-22T04:35:37Z,1926,495
2017-02-03T17:43:40Z,master,False,Erudika/scoold,2018-12-23T22:56:25Z,3258,179
2010-05-26T23:38:08Z,master,False,apache/mina-sshd,2018-12-23T06:00:56Z,12823,172
2015-05-24T23:55:43Z,master,False,floragunncom/search-guard,2018-12-24T12:08:14Z,4285,1865
2010-11-04T12:33:19Z,master,False,infinispan/infinispan,2018-12-24T13:38:00Z,115767,695
2015-09-14T15:29:12Z,master,False,zalando/logbook,2018-12-24T04:46:32Z,1639,297
2014-03-03T08:00:07Z,master,False,apache/curator,2018-12-25T22:55:38Z,9575,1362
2017-07-04T17:58:56Z,master,False,airsonic/airsonic,2018-12-25T09:04:50Z,83641,595
2011-01-19T19:52:29Z,master,False,dropwizard/dropwizard,2018-12-26T18:13:41Z,73882,6961
2010-08-27T02:05:20Z,master,False,OpenTSDB/opentsdb,2018-12-26T08:55:57Z,36298,3420
2014-10-18T18:10:08Z,develop,False,datumbox/datumbox-framework,2018-12-26T11:59:39Z,4492,1014
2015-03-25T22:48:38Z,master,False,GoogleCloudPlatform/java-docs-samples,2018-12-29T03:38:01Z,29499,667
2014-07-08T12:02:15Z,master,False,jmockit/jmockit1,2018-12-26T16:31:00Z,5317,290
2011-10-30T14:03:44Z,master,False,javaparser/javaparser,2018-12-27T13:30:04Z,20128,2161
2015-10-28T07:47:59Z,master,False,widdix/aws-cf-templates,2018-12-28T10:58:32Z,10347,1205
2017-04-20T06:52:01Z,master,False,javaee/glassfish,2018-12-27T07:39:51Z,338437,656
2013-01-04T08:00:32Z,master,False,apache/jena,2018-12-29T07:14:46Z,411806,486
2016-05-03T07:45:39Z,develop,False,itext/itext7,2018-12-27T21:20:45Z,425433,262
2010-08-12T03:32:41Z,master,False,apache/maven-surefire,2018-12-27T19:17:28Z,13476,199
2009-04-01T14:10:52Z,master,False,maxcom/lorsource,2018-12-28T21:45:38Z,74371,153
2014-08-28T07:00:08Z,trunk,False,apache/hadoop,2018-12-28T18:53:16Z,454845,8392
2010-02-26T19:44:42Z,4.1-development,False,dropwizard/metrics,2018-12-28T22:30:15Z,8689,6183
2014-04-16T15:30:36Z,master,False,google/closure-compiler,2018-12-28T19:44:29Z,146262,4622
2012-03-21T12:25:18Z,master,False,hazelcast/hazelcast,2018-12-28T23:14:07Z,137144,2912
2014-01-30T14:07:25Z,master,False,vavr-io/vavr,2018-12-28T13:31:36Z,17631,2849
2016-12-26T13:26:29Z,master,False,JanusGraph/janusgraph,2018-12-28T13:41:23Z,51039,1989
2014-11-04T17:57:16Z,master,False,googleapis/google-cloud-java,2018-12-28T20:55:40Z,711377,989
2014-06-25T07:00:07Z,master,False,apache/calcite,2018-12-28T22:02:08Z,42992,966
2011-07-22T13:26:37Z,develop,False,FluentLenium/FluentLenium,2018-12-28T22:09:39Z,6497,671
2009-05-21T01:15:15Z,trunk,False,apache/poi,2018-12-28T23:43:41Z,179034,650
2012-08-09T05:54:40Z,master,False,b3log/latke,2018-12-28T15:48:25Z,35133,646
2014-09-11T18:32:40Z,master,False,payara/Payara,2018-12-28T07:14:22Z,99381,613
2017-05-08T21:52:58Z,master,False,kubernetes-client/java,2018-12-28T15:52:02Z,5094,413
2013-05-13T20:47:29Z,master,False,jclouds/jclouds,2018-12-28T22:08:29Z,90360,378
2013-02-17T11:51:14Z,version5,False,owlcs/owlapi,2018-12-28T23:31:08Z,163460,375
2013-01-22T08:00:16Z,master,False,apache/tomee,2018-12-28T21:38:44Z,65544,256
2009-05-20T02:00:07Z,trunk,False,apache/felix,2018-12-28T10:59:28Z,96085,232
2015-04-29T17:54:35Z,master,False,vaadin/flow,2018-12-28T16:56:23Z,122418,158
2018-04-17T19:28:06Z,master,False,eclipse-ee4j/jersey,2018-12-28T14:11:24Z,6173,156
2013-02-28T17:57:01Z,master,False,ORCID/ORCID-Source,2018-12-28T23:28:02Z,131668,154
2013-12-30T13:46:45Z,master,False,Evolveum/midpoint,2018-12-28T00:06:15Z,153840,134
2012-06-09T02:22:14Z,master,False,sirixdb/sirix,2018-12-28T21:39:17Z,56869,115
2014-04-04T14:54:35Z,master,False,GoogleCloudPlatform/cloud-bigtable-client,2018-12-28T09:47:32Z,11178,103
2013-03-05T15:07:56Z,master,False,splicemachine/spliceengine,2018-12-28T00:02:07Z,266359,103
2011-01-29T20:05:45Z,master,False,thucydides-webtests/thucydides,2016-03-09T23:21:05Z,63575,270
2015-04-23T09:17:50Z,master,False,hawkular/hawkular-apm,2017-09-27T13:56:57Z,8206,132
2012-08-17T17:47:44Z,master,False,RestComm/Restcomm-Connect,2018-09-27T01:23:04Z,170588,195
2010-08-12T03:32:41Z,master,False,apache/maven-surefire,2019-01-05T14:48:52Z,13548,199
2015-09-23T15:36:06Z,merge-fork-beanshell2,False,beanshell/beanshell,2018-10-07T18:19:45Z,3678,174
2014-06-02T18:47:31Z,master,False,docker-java/docker-java,2018-11-27T21:46:54Z,6167,1195
2009-08-20T18:48:24Z,master,False,qos-ch/logback,2018-12-09T01:48:53Z,26303,1460
2012-03-07T02:29:34Z,master,False,apereo/java-cas-client,2018-12-14T21:36:18Z,1586,493
2013-12-16T21:07:20Z,develop,False,eclipse/kura,2018-12-28T15:50:19Z,171460,246
2010-08-12T03:32:41Z,master,False,apache/maven-surefire,2018-12-27T19:17:28Z,13476,199
2015-09-22T17:21:37Z,master,False,FINRAOS/herd,2018-12-27T20:16:44Z,140633,102
2017-05-08T21:52:58Z,master,False,kubernetes-client/java,2018-12-28T15:52:02Z,5094,413
2016-08-22T15:49:01Z,master,False,vmware/admiral,2018-12-28T13:48:55Z,32104,186
2018-06-15T06:49:27Z,master,False,alibaba/nacos,2018-12-29T09:40:22Z,12725,2819
2011-07-22T13:26:37Z,develop,False,FluentLenium/FluentLenium,2018-12-29T23:44:07Z,6505,671
